"Chromosome","Start","End","Gene"
"4",140453774,140453774,"Gene_1871"
"15",59178849,129538092,"Gene_1872"
"15",8466136,47189073,"Gene_1873"
"Y",30743609,281188716,"Gene_1874"
"5",192428746,192428746,"Gene_1875"
"10",289921961,289921961,"Gene_1876"
"9",247419697,247419697,"Gene_1877"
"5",209451787,209451787,"Gene_1878"
"1",294248342,294248342,"Gene_1879"
"10",51007704,259303070,"Gene_1880"
"8",77333450,156194424,"Gene_1881"
"8",34014613,237801014,"Gene_1882"
"11",142408495,142408495,"Gene_1883"
"5",44760126,68114786,"Gene_1884"
"10",271596013,271596013,"Gene_1885"
"4",64972297,64972297,"Gene_1886"
"8",264560253,288519654,"Gene_1887"
"2",1656933,135076051,"Gene_1888"
"5",186340350,186340350,"Gene_1889"
"18",24951458,252770596,"Gene_1890"
"16",28220320,177615516,"Gene_1891"
"18",42416751,220847506,"Gene_1892"
"4",134026600,258581752,"Gene_1893"
"5",25935338,241524473,"Gene_1894"
"4",175676430,175676430,"Gene_1895"
"17",104179624,112077791,"Gene_1896"
"11",221828668,221828668,"Gene_1897"
"3",269322022,269322022,"Gene_1898"
"X",184906590,249353468,"Gene_1899"
"15",16594876,160113077,"Gene_1900"
"12",81412256,182470097,"Gene_1901"
"1",286301298,286301298,"Gene_1902"
"13",37080103,116089944,"Gene_1903"
"8",100408718,168205565,"Gene_1904"
"6",96673774,186410122,"Gene_1905"
"17",82196666,125187192,"Gene_1906"
"17",294741706,294741706,"Gene_1907"
"3",109918856,109918856,"Gene_1908"
"Y",21919970,107991491,"Gene_1909"
"18",279610285,279610285,"Gene_1910"
"7",153779897,262546882,"Gene_1911"
"X",43032015,43032015,"Gene_1912"
"17",101809074,151635451,"Gene_1913"
"8",48294566,140247152,"Gene_1914"
"10",77607502,129577848,"Gene_1915"
"3",27172110,207741323,"Gene_1916"
"5",115130937,115130937,"Gene_1917"
"12",25676133,262783395,"Gene_1918"
"7",66952417,107083599,"Gene_1919"
"Y",20111769,183154464,"Gene_1920"
"14",206790246,206790246,"Gene_1921"
"X",141630620,237647010,"Gene_1922"
"4",136485146,268409285,"Gene_1923"
"17",106365800,106365800,"Gene_1924"
"16",173931529,183914787,"Gene_1925"
"2",285102056,285102056,"Gene_1926"
"15",127585926,279616456,"Gene_1927"
"15",268177449,268177449,"Gene_1928"
"10",163211119,175060824,"Gene_1929"
"6",65420129,130369426,"Gene_1930"
"6",244682429,280976343,"Gene_1931"
"11",223919563,223919563,"Gene_1932"
"13",239233271,275026873,"Gene_1933"
"X",71681150,289277830,"Gene_1934"
"3",35486962,44536377,"Gene_1935"
"18",96649311,266404128,"Gene_1936"
"11",108139425,148431136,"Gene_1937"
"X",214586976,214586976,"Gene_1938"
"8",176061302,176061302,"Gene_1939"
"2",96411918,96411918,"Gene_1940"
"8",195025454,195025454,"Gene_1941"
"8",94585260,94585260,"Gene_1942"
"18",92925090,109768041,"Gene_1943"
"17",164133008,196677288,"Gene_1944"
"2",180825627,180825627,"Gene_1945"
"5",75941566,75941566,"Gene_1946"
"8",89611271,89611271,"Gene_1947"
"5",107065781,119926962,"Gene_1948"
"16",204510755,204510755,"Gene_1949"
"5",212996760,212996760,"Gene_1950"
"14",285765249,285765249,"Gene_1951"
"15",294903772,294903772,"Gene_1952"
"8",209471308,209471308,"Gene_1953"
"10",238238173,238238173,"Gene_1954"
"15",37580753,155934492,"Gene_1955"
"17",256126737,256126737,"Gene_1956"
"15",183833515,253107451,"Gene_1957"
"17",261780038,261780038,"Gene_1958"
"Y",45252780,45252780,"Gene_1959"
"4",159398609,163888366,"Gene_1960"
"6",266848207,266848207,"Gene_1961"
"1",192153475,252940409,"Gene_1962"
"Y",156894905,156894905,"Gene_1963"
"4",183588930,183588930,"Gene_1964"
"6",114095699,114095699,"Gene_1965"
"15",74429602,235672175,"Gene_1966"
"18",26823475,105229386,"Gene_1967"
"12",264293584,264293584,"Gene_1968"
"X",53784324,190044398,"Gene_1969"
"3",175975895,175975895,"Gene_1970"
"Y",227072713,227072713,"Gene_1971"
"6",79975358,179253928,"Gene_1972"
"11",124980166,154058716,"Gene_1973"
"2",121163898,121163898,"Gene_1974"
"2",171395107,171395107,"Gene_1975"
"4",86342341,268337928,"Gene_1976"
"2",94980533,94980533,"Gene_1977"
"6",55545758,55545758,"Gene_1978"
"X",221472799,257263390,"Gene_1979"
"14",4311321,154657633,"Gene_1980"
"13",210740494,278253389,"Gene_1981"
"2",3060874,250897103,"Gene_1982"
"5",195684734,195684734,"Gene_1983"
"2",288987146,288987146,"Gene_1984"
"5",39996094,39996094,"Gene_1985"
"4",235260361,235260361,"Gene_1986"
"3",196851311,196851311,"Gene_1987"
"17",210880212,210880212,"Gene_1988"
"Y",158373025,239658783,"Gene_1989"
"8",31358413,181592156,"Gene_1990"
"3",125249984,125249984,"Gene_1991"
"10",60497861,103357060,"Gene_1992"
"18",181999121,181999121,"Gene_1993"
"1",47929384,198598011,"Gene_1994"
"X",241367473,241367473,"Gene_1995"
"X",201176297,201176297,"Gene_1996"
"9",283350558,283350558,"Gene_1997"
"13",248707943,248707943,"Gene_1998"
"7",972229,50972045,"Gene_1999"
"16",16787041,281873839,"Gene_2000"
"6",60134872,69966688,"Gene_2001"
"5",199170761,199170761,"Gene_2002"
"12",24181921,157527882,"Gene_2003"
"8",257146922,291258189,"Gene_2004"
"15",68760393,157147246,"Gene_2005"
"6",175841930,175841930,"Gene_2006"
"13",30773393,156214591,"Gene_2007"
"17",206981335,231199126,"Gene_2008"
"6",100856228,184449444,"Gene_2009"
"5",286976645,286976645,"Gene_2010"
"5",133927994,133927994,"Gene_2011"
"16",166032274,253026028,"Gene_2012"
"11",23944474,269651485,"Gene_2013"
"12",127076303,138379311,"Gene_2014"
"13",261751137,261751137,"Gene_2015"
"Y",159761101,159761101,"Gene_2016"
"12",50932288,50932288,"Gene_2017"
"17",15714391,171709328,"Gene_2018"
"14",282137383,282137383,"Gene_2019"
"18",214584333,214584333,"Gene_2020"
"7",211902686,211902686,"Gene_2021"
"4",149987920,170181480,"Gene_2022"
"2",29244286,214138185,"Gene_2023"
"9",210898984,210898984,"Gene_2024"
"6",66680286,110469055,"Gene_2025"
"1",241417459,241417459,"Gene_2026"
"Y",207917707,207917707,"Gene_2027"
"5",255214680,255214680,"Gene_2028"
"1",13514579,213443532,"Gene_2029"
"10",265450571,265450571,"Gene_2030"
"6",151906025,151906025,"Gene_2031"
"10",189017579,189017579,"Gene_2032"
"9",77660621,77660621,"Gene_2033"
"7",216626730,216626730,"Gene_2034"
"10",79755501,79755501,"Gene_2035"
"13",111551070,144918263,"Gene_2036"
"X",229386263,229386263,"Gene_2037"
"7",237393706,268622923,"Gene_2038"
"12",184404086,184404086,"Gene_2039"
"1",151423812,173967719,"Gene_2040"
"5",151483560,151483560,"Gene_2041"
"16",23185594,193043969,"Gene_2042"
"11",20838922,55589161,"Gene_2043"
"14",17614199,17614199,"Gene_2044"
"11",173605878,173605878,"Gene_2045"
"16",278591992,278591992,"Gene_2046"
"2",246077649,246077649,"Gene_2047"
"6",149959035,149959035,"Gene_2048"
"14",155373801,155373801,"Gene_2049"
"10",183804039,183804039,"Gene_2050"
"15",109277845,261671199,"Gene_2051"
"15",262001796,262001796,"Gene_2052"
"Y",232112750,232112750,"Gene_2053"
"3",110483811,205901345,"Gene_2054"
"12",272526021,272526021,"Gene_2055"
"12",18366167,224023899,"Gene_2056"
"14",284733897,284733897,"Gene_2057"
"16",204953920,204953920,"Gene_2058"
"12",290047887,290047887,"Gene_2059"
"X",25889355,215099826,"Gene_2060"
"3",251787641,251787641,"Gene_2061"
"1",148123460,148123460,"Gene_2062"
"3",262248513,262248513,"Gene_2063"
"10",75474843,75474843,"Gene_2064"
"4",270417494,270417494,"Gene_2065"
"1",29721923,171990353,"Gene_2066"
"16",72834545,80143267,"Gene_2067"
"11",151195067,151195067,"Gene_2068"
"9",163634314,163634314,"Gene_2069"
"18",139020483,139020483,"Gene_2070"
"3",179705063,179705063,"Gene_2071"
"4",33698915,59084502,"Gene_2072"
"2",271686875,271686875,"Gene_2073"
"6",158548477,276559229,"Gene_2074"
"16",134061721,141721511,"Gene_2075"
"15",188197850,188197850,"Gene_2076"
"2",273942497,273942497,"Gene_2077"
"10",273736719,273736719,"Gene_2078"
"7",39547452,186215488,"Gene_2079"
"15",242990374,242990374,"Gene_2080"
"14",266274486,266274486,"Gene_2081"
"17",255518931,255518931,"Gene_2082"
"10",97899257,97899257,"Gene_2083"
"9",169620894,169620894,"Gene_2084"
"15",154723603,250733779,"Gene_2085"
"5",295029364,295029364,"Gene_2086"
"2",48285033,70998914,"Gene_2087"
"12",64143047,119567661,"Gene_2088"
"13",252421645,285637383,"Gene_2089"
"6",292381046,292381046,"Gene_2090"
"15",28922706,242799428,"Gene_2091"
"12",112610465,255050303,"Gene_2092"
"9",131347590,240978437,"Gene_2093"
"7",169072584,242805870,"Gene_2094"
"Y",25788157,270435879,"Gene_2095"
"2",173477262,243450501,"Gene_2096"
"8",166529299,166529299,"Gene_2097"
"13",205672045,205672045,"Gene_2098"
"X",55421018,283635009,"Gene_2099"
"12",159473641,276649387,"Gene_2100"
"3",284242660,284242660,"Gene_2101"
"Y",19389724,216140060,"Gene_2102"
"7",84138374,84138374,"Gene_2103"
"3",150944808,150944808,"Gene_2104"
"13",168124619,289989537,"Gene_2105"
"6",219047244,219047244,"Gene_2106"
"2",213327292,213327292,"Gene_2107"
"2",205942479,205942479,"Gene_2108"
"7",282280668,287881758,"Gene_2109"
"8",131200600,131200600,"Gene_2110"
"6",131848425,223326148,"Gene_2111"
"14",221502976,268248092,"Gene_2112"
"15",78717542,172467175,"Gene_2113"
"11",269373397,269373397,"Gene_2114"
"X",175083102,219578651,"Gene_2115"
"16",40391999,280650350,"Gene_2116"
"9",251346717,251346717,"Gene_2117"
"18",20119776,55595553,"Gene_2118"
"12",276189848,276189848,"Gene_2119"
"3",113229080,115689652,"Gene_2120"
"12",23287501,186752702,"Gene_2121"
"X",75192433,147641018,"Gene_2122"
"17",183212176,288879871,"Gene_2123"
"14",152638567,274533539,"Gene_2124"
"7",213180020,223409446,"Gene_2125"
"16",237983376,237983376,"Gene_2126"
"3",193115722,193115722,"Gene_2127"
"12",90003561,90003561,"Gene_2128"
"5",129664246,183152190,"Gene_2129"
"18",194138280,194138280,"Gene_2130"
"17",24202745,228746634,"Gene_2131"
"7",76852996,85732257,"Gene_2132"
"8",1143440,205402956,"Gene_2133"
"8",270184037,270184037,"Gene_2134"
"15",51260127,158648907,"Gene_2135"
"9",182873781,182873781,"Gene_2136"
"Y",108482127,116157015,"Gene_2137"
"16",49839500,49839500,"Gene_2138"
"X",123872782,123872782,"Gene_2139"
"7",292477694,292477694,"Gene_2140"
"3",150990755,150990755,"Gene_2141"
"X",262758392,262758392,"Gene_2142"
"9",85815911,85815911,"Gene_2143"
"6",27797970,47929166,"Gene_2144"
"17",165906501,165906501,"Gene_2145"
"9",214869954,214869954,"Gene_2146"
"7",141044035,146702930,"Gene_2147"
"9",255994905,255994905,"Gene_2148"
"15",11870866,138375391,"Gene_2149"
"Y",269773871,269773871,"Gene_2150"
"10",132164258,158764457,"Gene_2151"
"11",266723958,266723958,"Gene_2152"
"4",194157362,251735816,"Gene_2153"
"7",39709496,213155797,"Gene_2154"
"2",199240949,258798997,"Gene_2155"
"1",128572522,265281494,"Gene_2156"
"12",4635657,125773203,"Gene_2157"
"18",91671397,187120833,"Gene_2158"
"X",89036071,238864782,"Gene_2159"
"6",71584109,170646507,"Gene_2160"
"16",295334522,295334522,"Gene_2161"
"4",252620548,252620548,"Gene_2162"
"5",153956484,153956484,"Gene_2163"
"Y",9281180,91019321,"Gene_2164"
"2",117845803,117845803,"Gene_2165"
"12",263448100,263448100,"Gene_2166"
"10",111560560,113889433,"Gene_2167"
"11",273383154,282827360,"Gene_2168"
"18",114845015,114845015,"Gene_2169"
"16",126196859,126196859,"Gene_2170"
"8",255816046,255816046,"Gene_2171"
"3",92237454,92237454,"Gene_2172"
"8",25026556,117882985,"Gene_2173"
"16",2076926,133245859,"Gene_2174"
"13",95508954,234468535,"Gene_2175"
"15",11270395,274968279,"Gene_2176"
"2",203878327,203878327,"Gene_2177"
"8",287646621,287646621,"Gene_2178"
"1",167736118,167736118,"Gene_2179"
"10",128059202,186453537,"Gene_2180"
"2",16356627,39147738,"Gene_2181"
"12",163489806,163489806,"Gene_2182"
"1",261200993,261200993,"Gene_2183"
"15",240089867,240089867,"Gene_2184"
"16",256168863,256168863,"Gene_2185"
"2",248788036,252452094,"Gene_2186"
"15",91885256,91885256,"Gene_2187"
"12",191956184,191956184,"Gene_2188"
"13",135702886,135702886,"Gene_2189"
"2",91436181,152791370,"Gene_2190"
"3",253166847,253166847,"Gene_2191"
"17",116674504,116674504,"Gene_2192"
"14",204667223,204667223,"Gene_2193"
"3",272629993,272629993,"Gene_2194"
"16",74925977,292293679,"Gene_2195"
"1",111347867,244167339,"Gene_2196"
"2",137336368,206563348,"Gene_2197"
"Y",220643898,220643898,"Gene_2198"
"18",68041525,263567723,"Gene_2199"
"13",126732801,184715805,"Gene_2200"
"9",152735692,253207880,"Gene_2201"
"16",42875837,237046808,"Gene_2202"
"8",180787316,180787316,"Gene_2203"
"13",205970247,205970247,"Gene_2204"
"16",10394128,96609492,"Gene_2205"
"4",159628437,259884792,"Gene_2206"
"14",35047534,270645188,"Gene_2207"
"15",239174124,268241812,"Gene_2208"
"16",86480874,86480874,"Gene_2209"
"1",240127242,280678527,"Gene_2210"
"1",232304497,232304497,"Gene_2211"
"17",283899801,283899801,"Gene_2212"
"18",159362385,233762121,"Gene_2213"
"18",252994877,252994877,"Gene_2214"
"14",33825968,53095257,"Gene_2215"
"7",210868338,210868338,"Gene_2216"
"X",57193472,57193472,"Gene_2217"
"12",217851208,252521350,"Gene_2218"
"5",102927289,102927289,"Gene_2219"
"9",161883973,287436125,"Gene_2220"
"9",100316134,288974172,"Gene_2221"
"Y",166920192,166920192,"Gene_2222"
"12",106698277,106698277,"Gene_2223"
"8",17083832,274501587,"Gene_2224"
"3",55139532,260883421,"Gene_2225"
"4",180133992,203995492,"Gene_2226"
"10",73802131,246088709,"Gene_2227"
"7",41882443,83652535,"Gene_2228"
"12",248564962,248564962,"Gene_2229"
"5",186385995,201344485,"Gene_2230"
"16",244868314,244868314,"Gene_2231"
"Y",23931561,157163266,"Gene_2232"
"9",68016178,168480116,"Gene_2233"
"6",73965266,279265957,"Gene_2234"
"11",12320370,99382196,"Gene_2235"
"9",136135060,136135060,"Gene_2236"
"5",6239752,179636681,"Gene_2237"
"9",14973023,198534262,"Gene_2238"
"11",44260989,180502448,"Gene_2239"
"2",142950363,142950363,"Gene_2240"
"Y",195327234,195327234,"Gene_2241"
"17",123574812,123574812,"Gene_2242"
"10",116359950,236080435,"Gene_2243"
"12",24492899,270509138,"Gene_2244"
"18",14178605,289870973,"Gene_2245"
"13",245388621,259602757,"Gene_2246"
"1",271735720,271735720,"Gene_2247"
"1",137898511,148833526,"Gene_2248"
"10",30116685,245753777,"Gene_2249"
"8",253147604,253147604,"Gene_2250"
"6",281207515,281207515,"Gene_2251"
"4",279383818,279383818,"Gene_2252"
"9",70760893,148368761,"Gene_2253"
"5",53106540,101671696,"Gene_2254"
"10",109644971,219865144,"Gene_2255"
"3",129868003,140740482,"Gene_2256"
"3",37818485,180659593,"Gene_2257"
"X",667688,205949176,"Gene_2258"
"14",120312940,139253572,"Gene_2259"
"X",90327458,265499173,"Gene_2260"
"Y",270404107,270404107,"Gene_2261"
"12",293698380,293698380,"Gene_2262"
"16",108403565,117876055,"Gene_2263"
"X",255465742,255465742,"Gene_2264"
"10",98281123,133636899,"Gene_2265"
"9",94384219,170870827,"Gene_2266"
"17",85460088,104578043,"Gene_2267"
"2",185569573,209613079,"Gene_2268"
"2",147717250,147717250,"Gene_2269"
"5",13898310,117609537,"Gene_2270"
"5",193588449,209420661,"Gene_2271"
"14",290376299,290376299,"Gene_2272"
"7",128152220,128152220,"Gene_2273"
"14",158331413,158331413,"Gene_2274"
"9",40238838,258721199,"Gene_2275"
"6",89363392,178707094,"Gene_2276"
"1",157433216,157433216,"Gene_2277"
"1",240929159,240929159,"Gene_2278"
"7",102967566,129428743,"Gene_2279"
"X",112063757,145220997,"Gene_2280"
"11",48470425,138078053,"Gene_2281"
"4",125882000,125882000,"Gene_2282"
"12",28307191,28307191,"Gene_2283"
"16",151666486,216206519,"Gene_2284"
"1",277076145,277076145,"Gene_2285"
"13",258875782,258875782,"Gene_2286"
"18",269882607,269882607,"Gene_2287"
"18",270044726,270044726,"Gene_2288"
"6",94728722,238292541,"Gene_2289"
"18",176043057,176043057,"Gene_2290"
"9",182506814,182506814,"Gene_2291"
"1",164198522,164198522,"Gene_2292"
"12",269708720,269708720,"Gene_2293"
"16",289144195,289144195,"Gene_2294"
"18",76641887,76641887,"Gene_2295"
"12",158762404,158762404,"Gene_2296"
"13",267013849,267013849,"Gene_2297"
"11",258198791,258198791,"Gene_2298"
"17",100641573,100641573,"Gene_2299"
"15",276786108,276786108,"Gene_2300"
"8",262661445,281023704,"Gene_2301"
"14",280877964,280877964,"Gene_2302"
"16",143930192,143930192,"Gene_2303"
"11",257438653,257438653,"Gene_2304"
"X",233326749,233326749,"Gene_2305"
"X",121559619,188916646,"Gene_2306"
"1",3873033,104915394,"Gene_2307"
"4",155579180,155579180,"Gene_2308"
"6",4486840,282242650,"Gene_2309"
"2",64812483,96342194,"Gene_2310"
"18",148882659,177934573,"Gene_2311"
"1",251433902,251433902,"Gene_2312"
"4",254455461,254455461,"Gene_2313"
"3",85879495,201829779,"Gene_2314"
"7",84950041,210352463,"Gene_2315"
"4",18373071,92287500,"Gene_2316"
"12",247862978,247862978,"Gene_2317"
"X",78848725,247878030,"Gene_2318"
"11",164665589,164665589,"Gene_2319"
"Y",5905721,59995068,"Gene_2320"
"15",141219059,141219059,"Gene_2321"
"X",223146236,223146236,"Gene_2322"
"5",155658452,155658452,"Gene_2323"
"9",141334826,141334826,"Gene_2324"
"10",173230882,173230882,"Gene_2325"
"17",16168208,221156351,"Gene_2326"
"12",109765402,198440845,"Gene_2327"
"11",267679758,267679758,"Gene_2328"
"12",88299248,210809314,"Gene_2329"
"Y",124328894,200881386,"Gene_2330"
"10",44259188,71255724,"Gene_2331"
"10",70721931,70721931,"Gene_2332"
"18",216763856,287884220,"Gene_2333"
"1",15584444,15584444,"Gene_2334"
"16",87389945,87389945,"Gene_2335"
"15",121299970,121299970,"Gene_2336"
"12",146124630,146124630,"Gene_2337"
"10",56361579,142688728,"Gene_2338"
"14",31409472,31409472,"Gene_2339"
"12",225800726,225800726,"Gene_2340"
"14",275660999,275660999,"Gene_2341"
"8",47360966,232373560,"Gene_2342"
"2",208101016,256753568,"Gene_2343"
"11",128409365,128409365,"Gene_2344"
"16",41418573,189636476,"Gene_2345"
"6",205558471,257661173,"Gene_2346"
"17",70791054,264016104,"Gene_2347"
"5",273505135,273505135,"Gene_2348"
"X",80723678,151225042,"Gene_2349"
"16",270416523,270416523,"Gene_2350"
"9",234907205,250207075,"Gene_2351"
"7",291803646,291803646,"Gene_2352"
"15",75711769,187104697,"Gene_2353"
"2",191586740,191586740,"Gene_2354"
"7",187291831,187291831,"Gene_2355"
"11",186358704,186358704,"Gene_2356"
"18",176035585,242435035,"Gene_2357"
"2",31106213,31106213,"Gene_2358"
"14",80460178,80460178,"Gene_2359"
"13",96642415,96642415,"Gene_2360"
"18",113576629,113576629,"Gene_2361"
"15",226373228,226373228,"Gene_2362"
"8",71750388,71750388,"Gene_2363"
"13",290516816,290516816,"Gene_2364"
"5",283811820,283811820,"Gene_2365"
"12",253141808,253141808,"Gene_2366"
"9",286591726,286591726,"Gene_2367"
"10",191437061,214377536,"Gene_2368"
"15",175461306,175461306,"Gene_2369"
"9",282856142,282856142,"Gene_2370"
"7",154875306,154875306,"Gene_2371"
"14",229149038,229149038,"Gene_2372"
"16",92477493,191120427,"Gene_2373"
"13",254940190,254940190,"Gene_2374"
"9",217005866,217005866,"Gene_2375"
"X",186445066,186445066,"Gene_2376"
"2",109928928,274977175,"Gene_2377"
"2",5623261,44481574,"Gene_2378"
"10",10040252,130764252,"Gene_2379"
"15",5936107,289372819,"Gene_2380"
"5",199182674,257033803,"Gene_2381"
"Y",292767579,292767579,"Gene_2382"
"3",33309495,37305730,"Gene_2383"
"4",132199915,132199915,"Gene_2384"
"13",259376929,259376929,"Gene_2385"
"13",85115858,85115858,"Gene_2386"
"5",227907653,227907653,"Gene_2387"
"10",110270666,279419788,"Gene_2388"
"6",98180957,146641530,"Gene_2389"
"3",19493498,245012883,"Gene_2390"
"14",96697095,96697095,"Gene_2391"
"8",109592159,169754505,"Gene_2392"
"14",145338387,284267726,"Gene_2393"
"5",61859803,233222574,"Gene_2394"
"18",17745836,84713937,"Gene_2395"
"6",226143965,226143965,"Gene_2396"
"14",59648501,59648501,"Gene_2397"
"9",80022438,279793732,"Gene_2398"
"4",269274559,269274559,"Gene_2399"
"12",200750512,292672128,"Gene_2400"
"9",136830429,136830429,"Gene_2401"
"9",57100928,186896917,"Gene_2402"
"5",168142591,257660472,"Gene_2403"
"10",77398467,81353550,"Gene_2404"
"7",122420768,244264508,"Gene_2405"
"14",4450380,120234213,"Gene_2406"
"1",111977716,111977716,"Gene_2407"
"2",29947269,161827584,"Gene_2408"
"12",8736027,181720766,"Gene_2409"
"4",274132777,274132777,"Gene_2410"
"Y",285049244,285049244,"Gene_2411"
"4",81117294,81117294,"Gene_2412"
"18",71507847,106097930,"Gene_2413"
"2",186929911,290504381,"Gene_2414"
"13",264177978,264177978,"Gene_2415"
"14",18410511,267217579,"Gene_2416"
"4",6900766,161305783,"Gene_2417"
"16",269856606,269856606,"Gene_2418"
"4",283792602,283792602,"Gene_2419"
"3",287314144,287314144,"Gene_2420"
"8",53087032,53087032,"Gene_2421"
"18",204521110,204521110,"Gene_2422"
"18",127507957,144733022,"Gene_2423"
"14",237934051,258871051,"Gene_2424"
"9",159163676,159163676,"Gene_2425"
"15",270529720,270529720,"Gene_2426"
"12",210209994,210209994,"Gene_2427"
"12",261581994,273438952,"Gene_2428"
"11",262513158,262513158,"Gene_2429"
"15",40768132,143402941,"Gene_2430"
"3",94740338,214796320,"Gene_2431"
"17",109521783,202710321,"Gene_2432"
"X",253888757,253888757,"Gene_2433"
"9",70352714,70352714,"Gene_2434"
"7",194736930,278646544,"Gene_2435"
"11",68595774,239707049,"Gene_2436"
"3",968298,185333095,"Gene_2437"
"2",14327342,48020640,"Gene_2438"
"8",99538283,99538283,"Gene_2439"
"18",132971922,132971922,"Gene_2440"
"9",60382860,142756066,"Gene_2441"
"12",71983913,277937435,"Gene_2442"
"15",245139385,245139385,"Gene_2443"
"7",163604120,163604120,"Gene_2444"
"Y",199495200,199495200,"Gene_2445"
"10",86358861,223487935,"Gene_2446"
"5",41557463,183409312,"Gene_2447"
"13",24383208,177687215,"Gene_2448"
"2",172118416,172118416,"Gene_2449"
"13",229916520,229916520,"Gene_2450"
"11",292505784,292505784,"Gene_2451"
"8",161990980,241428801,"Gene_2452"
"17",121943240,121943240,"Gene_2453"
"13",166173636,166173636,"Gene_2454"
"X",177361301,177361301,"Gene_2455"
"Y",109381820,145819130,"Gene_2456"
"X",242903242,242903242,"Gene_2457"
"2",44623779,44623779,"Gene_2458"
"13",229360347,239110058,"Gene_2459"
"14",239585089,239585089,"Gene_2460"
"14",79831870,259906223,"Gene_2461"
"8",254989867,254989867,"Gene_2462"
"17",294260328,294260328,"Gene_2463"
"10",93957675,93957675,"Gene_2464"
"2",206616085,222672507,"Gene_2465"
"12",116410885,116410885,"Gene_2466"
"17",6479510,41852022,"Gene_2467"
"2",173230349,173230349,"Gene_2468"
"10",4396854,256589723,"Gene_2469"
"10",14594182,215100963,"Gene_2470"
"7",271274196,271274196,"Gene_2471"
"15",251019776,251019776,"Gene_2472"
"9",171797496,171797496,"Gene_2473"
"9",82996904,245183716,"Gene_2474"
"9",273794780,273794780,"Gene_2475"
"8",150590815,150590815,"Gene_2476"
"X",62400969,62400969,"Gene_2477"
"3",26752483,96015165,"Gene_2478"
"7",263318791,293171984,"Gene_2479"
"2",56733921,218704767,"Gene_2480"
"10",137546980,185623556,"Gene_2481"
"3",56180973,160971073,"Gene_2482"
"10",218030364,218030364,"Gene_2483"
"4",232072092,232072092,"Gene_2484"
"Y",148095239,242536613,"Gene_2485"
"6",260039027,260039027,"Gene_2486"
"8",177481839,209868764,"Gene_2487"
"15",28845626,29039338,"Gene_2488"
"12",151925322,200424755,"Gene_2489"
"15",12145395,213496716,"Gene_2490"
"12",144404188,144404188,"Gene_2491"
"2",194946921,194946921,"Gene_2492"
"12",255552875,255552875,"Gene_2493"
"13",87389806,261239112,"Gene_2494"
"X",71215000,228333916,"Gene_2495"
"17",30809119,124529921,"Gene_2496"
"2",104615292,104615292,"Gene_2497"
"5",62851425,103516918,"Gene_2498"
"15",206894096,206894096,"Gene_2499"
"8",122451994,122451994,"Gene_2500"
"14",163462362,163462362,"Gene_2501"
"16",98622653,98622653,"Gene_2502"
"14",2331079,208531008,"Gene_2503"
"11",42332461,42332461,"Gene_2504"
"7",180836581,208297154,"Gene_2505"
"Y",255203844,255203844,"Gene_2506"
"14",240556528,240556528,"Gene_2507"
"3",90868194,163877296,"Gene_2508"
"10",5124090,202238618,"Gene_2509"
"X",89279594,132714074,"Gene_2510"
"1",35240383,81710545,"Gene_2511"
"12",61665857,61665857,"Gene_2512"
"Y",34023187,262024936,"Gene_2513"
"17",46894369,113216729,"Gene_2514"
"9",186565721,292771605,"Gene_2515"
"12",208162738,227731173,"Gene_2516"
"16",265445145,265445145,"Gene_2517"
"15",131974801,131974801,"Gene_2518"
"11",153900976,153900976,"Gene_2519"
"18",153173550,264581102,"Gene_2520"
"5",276940463,276940463,"Gene_2521"
"3",238308640,238308640,"Gene_2522"
"14",208387231,292602596,"Gene_2523"
"1",59780209,59780209,"Gene_2524"
"13",183953841,247711654,"Gene_2525"
"14",284217604,284217604,"Gene_2526"
"X",289214619,289214619,"Gene_2527"
"16",31775380,119525765,"Gene_2528"
"15",79925546,79925546,"Gene_2529"
"5",228336750,228336750,"Gene_2530"
"13",173993084,173993084,"Gene_2531"
"6",129236530,157201899,"Gene_2532"
"9",20386810,109208388,"Gene_2533"
"16",52684245,151590913,"Gene_2534"
"5",81117692,151327457,"Gene_2535"
"4",125914117,150588769,"Gene_2536"
"18",107012975,107012975,"Gene_2537"
"16",57473524,57473524,"Gene_2538"
"Y",197873018,197873018,"Gene_2539"
"11",247428888,247428888,"Gene_2540"
"18",288547134,288547134,"Gene_2541"
"4",160892252,160892252,"Gene_2542"
"3",39610286,65862105,"Gene_2543"
"10",111787542,245660117,"Gene_2544"
"9",283104332,283104332,"Gene_2545"
"X",267591542,267591542,"Gene_2546"
"14",191081562,289471173,"Gene_2547"
"14",83779041,124058229,"Gene_2548"
"15",5120911,158077997,"Gene_2549"
"X",179684715,242644944,"Gene_2550"
"8",153709575,256207531,"Gene_2551"
"7",183076943,217904492,"Gene_2552"
"17",91807782,91807782,"Gene_2553"
"2",45296157,147793443,"Gene_2554"
"8",214527047,216343037,"Gene_2555"
"4",153209648,239129233,"Gene_2556"
"3",273970951,273970951,"Gene_2557"
"14",170615188,234990002,"Gene_2558"
"12",170138988,293718814,"Gene_2559"
"17",185190976,185190976,"Gene_2560"
"1",245500359,245500359,"Gene_2561"
"16",93542069,121851039,"Gene_2562"
"4",226167467,226167467,"Gene_2563"
"18",164605514,184090872,"Gene_2564"
"1",57373037,218934241,"Gene_2565"
"8",219426127,233420955,"Gene_2566"
"12",286069089,286069089,"Gene_2567"
